+--------+----------------------------+----------------------------+-----------------+-----------------+-----------------+----------------+-------+----------+----------------------------+----------------------------+
| Period | Period Start               | Period End                 | Max             | Min             | Avg             | Sum            | Count | Duration | Duration Start             | Duration End               |
| 360    | 2018-08-10T17:16:17.365000 | 2018-08-10T17:22:17.365000 | 0.105597471885  | 0.083298255975  | 0.0944478639302 | 0.18889572786  | 2     | 179.928  | 2018-08-10T17:17:14.205000 | 2018-08-10T17:20:14.133000 |
| 360    | 2018-08-10T17:22:17.365000 | 2018-08-10T17:28:17.365000 | 37.7129969705   | 19.7138884322   | 28.7134427013   | 57.4268854027  | 2     | 179.991  | 2018-08-10T17:23:14.159000 | 2018-08-10T17:26:14.150000 |
| 360    | 2018-08-10T17:28:17.365000 | 2018-08-10T17:34:17.365000 | 37.9843570871   | 35.8807803343   | 36.9325687107   | 73.8651374215  | 2     | 179.759  | 2018-08-10T17:29:14.385000 | 2018-08-10T17:32:14.144000 |
| 360    | 2018-08-10T17:34:17.365000 | 2018-08-10T17:40:17.365000 | 38.9573530663   | 38.8489642141   | 38.9031586402   | 77.8063172804  | 2     | 179.928  | 2018-08-10T17:35:14.212000 | 2018-08-10T17:38:14.140000 |
| 360    | 2018-08-10T17:40:17.365000 | 2018-08-10T17:46:17.365000 | 42.98377611     | 42.3102788121   | 42.6470274611   | 85.2940549221  | 2     | 179.956  | 2018-08-10T17:41:14.185000 | 2018-08-10T17:44:14.141000 |
| 360    | 2018-08-10T17:46:17.365000 | 2018-08-10T17:52:17.365000 | 46.0956365218   | 44.1379000199   | 45.1167682709   | 90.2335365417  | 2     | 179.973  | 2018-08-10T17:47:14.168000 | 2018-08-10T17:50:14.141000 |
| 360    | 2018-08-10T17:52:17.365000 | 2018-08-10T17:58:17.365000 | 50.4250789705   | 48.1427467603   | 49.2839128654   | 98.5678257308  | 2     | 179.97   | 2018-08-10T17:53:14.168000 | 2018-08-10T17:56:14.138000 |
| 360    | 2018-08-10T17:58:17.365000 | 2018-08-10T18:04:17.365000 | 53.1092956302   | 48.8378138972   | 50.9735547637   | 101.947109527  | 2     | 179.987  | 2018-08-10T17:59:14.163000 | 2018-08-10T18:02:14.150000 |
| 360    | 2018-08-10T18:04:17.365000 | 2018-08-10T18:10:17.365000 | 36.31228131     | 25.4065389603   | 29.6556228193   | 88.9668684579  | 3     | 179.903  | 2018-08-10T18:05:14.227000 | 2018-08-10T18:08:14.130000 |
| 360    | 2018-08-10T18:10:17.365000 | 2018-08-10T18:16:17.365000 | 28.3479101437   | 27.3793660412   | 27.7831231175   | 111.13249247   | 4     | 235.783  | 2018-08-10T18:10:18.353000 | 2018-08-10T18:14:14.136000 |
| 360    | 2018-08-10T18:16:17.365000 | 2018-08-10T18:22:17.365000 | 29.9756750621   | 28.7747960545   | 29.5226587184   | 118.090634874  | 4     | 235.714  | 2018-08-10T18:16:18.416000 | 2018-08-10T18:20:14.130000 |
| 360    | 2018-08-10T18:22:17.365000 | 2018-08-10T18:28:17.365000 | 33.1770174071   | 30.7025168592   | 32.0913928387   | 128.365571355  | 4     | 235.834  | 2018-08-10T18:22:18.313000 | 2018-08-10T18:26:14.147000 |
| 360    | 2018-08-10T18:28:17.365000 | 2018-08-10T18:34:17.365000 | 36.3268896957   | 33.8952564166   | 35.1960720661   | 140.784288264  | 4     | 235.772  | 2018-08-10T18:28:18.371000 | 2018-08-10T18:32:14.143000 |
| 360    | 2018-08-10T18:34:17.365000 | 2018-08-10T18:40:17.365000 | 38.7842241468   | 35.8681812187   | 37.3740619145   | 149.496247658  | 4     | 235.782  | 2018-08-10T18:34:18.369000 | 2018-08-10T18:38:14.151000 |
| 360    | 2018-08-10T18:40:17.365000 | 2018-08-10T18:46:17.365000 | 43.2187774019   | 40.9798363269   | 42.18280894     | 168.73123576   | 4     | 235.785  | 2018-08-10T18:40:18.373000 | 2018-08-10T18:44:14.158000 |
